gene,day,gDNA,mRNA
EIF4A2,day 5,0.02,0.37
EIF4A2,day 13,1.55,1.62
EIF4A2,day 21,2.58,2.6
EIF4A3,day 5,-2.91,-1.58
EIF4A3,day 13,-4.14,-6.18
EIF4A3,day 21,-3.43,-5.2
EIF4B,day 5,0.02,-0.22
EIF4B,day 13,-0.46,-1.11
EIF4B,day 21,-1.05,-1.17
EIF4E,day 5,-1.34,-1.17
EIF4E,day 13,-3.37,-5.52
EIF4E,day 21,-2.66,-4.53
EIF4E1B,day 5,-0.1,0.32
EIF4E1B,day 13,0.53,1.31
EIF4E1B,day 21,-0.21,1.47
EIF4E2,day 5,0.77,0.37
EIF4E2,day 13,1.25,0.96
EIF4E2,day 21,0.95,0.47
EIF4E3,day 5,-0.23,-0.31
EIF4E3,day 13,0.49,0.6
EIF4E3,day 21,0.96,1.12
EIF4ENIF1,day 5,-0.06,0.38
EIF4ENIF1,day 13,-0.13,0.64
EIF4ENIF1,day 21,0.2,-0.1
EIF4G1,day 5,-0.35,-0.86
EIF4G1,day 13,-1.53,-4.57
EIF4G1,day 21,-2.41,-5.06
EIF4G2,day 5,-0.66,0.07
EIF4G2,day 13,-0.43,-0.45
EIF4G2,day 21,-1.73,-1.23
EIF4G3,day 5,-0.71,0.3
EIF4G3,day 13,-0.12,0.27
EIF4G3,day 21,1.35,1.19
EIF4H,day 5,-0.56,-0.04
EIF4H,day 13,-0.11,0.33
EIF4H,day 21,0.3,0.92
EIF5,day 5,0.18,0.05
EIF5,day 13,-1.69,-1.37
EIF5,day 21,-0.14,-1.36
EIF5A,day 5,0.33,-0.13
EIF5A,day 13,-2.56,-2.44
EIF5A,day 21,-2.84,-3.35
EIF5A2,day 5,0.43,0.51
EIF5A2,day 13,1.58,1.72
EIF5A2,day 21,2.6,2.85
EIF5AL1,day 5,-0.44,-0.06
EIF5AL1,day 13,-0.14,0.42
EIF5AL1,day 21,0.15,0.67
EIF5B,day 5,0.33,0.23
EIF5B,day 13,-0.76,-0.44
EIF5B,day 21,-1.54,-0.99
EIF6,day 5,-1.38,-0.66
EIF6,day 13,-3.25,-4.59
EIF6,day 21,-2.54,-4.58
ELAC1,day 5,0.05,0.53
ELAC1,day 13,0.75,1.49
ELAC1,day 21,1.4,2.2
ELAC2,day 5,0.24,-0.06
ELAC2,day 13,-2.47,-3.7
ELAC2,day 21,-2.45,-4.89
ELAPOR1,day 5,0.05,-0.44
ELAPOR1,day 13,-1.07,-0.38
ELAPOR1,day 21,-0.23,-0.34
ELAVL1,day 5,-0.04,-0
ELAVL1,day 13,0.03,0.27
ELAVL1,day 21,0.53,0.68
ELAVL2,day 5,0.61,0.22
ELAVL2,day 13,1.42,0.95
ELAVL2,day 21,1.39,1.14
ELAVL3,day 5,0.46,0.03
ELAVL3,day 13,1.39,0.62
ELAVL3,day 21,1.92,1.44
ELAVL4,day 5,0.55,0.25
ELAVL4,day 13,1.68,1.13
ELAVL4,day 21,1.86,1.98
ELF1,day 5,0.54,0.2
ELF1,day 13,0.87,1.11
ELF1,day 21,0.95,1.18
ELOA,day 5,-0.04,0.09
ELOA,day 13,0.68,0.25
ELOA,day 21,-0.18,1.14
ELOF1,day 5,0.16,-0.12
ELOF1,day 13,-0.35,-0.2
ELOF1,day 21,-1.27,-0.69
ELP1,day 5,-0.63,-0.45
ELP1,day 13,-1.1,-2.43
ELP1,day 21,-0.53,-2.24
ELP2,day 5,-0.2,0.26
ELP2,day 13,-1.7,-1.94
ELP2,day 21,-1.73,-4.38
ELP3,day 5,-0.08,0.11
ELP3,day 13,-1.45,-2.2
ELP3,day 21,-2.18,-4.04
ELP4,day 5,0.41,-0.04
ELP4,day 13,-1.65,-1.83
ELP4,day 21,-1.58,-2.98
ELP5,day 5,0.35,0.52
ELP5,day 13,-1.99,-2.15
ELP5,day 21,-2.99,-4.02
EMB,day 5,-0.35,-0.28
EMB,day 13,-0.32,-0.27
EMB,day 21,-1.04,-0.09
EMG1,day 5,0.97,-0.61
EMG1,day 13,-0.26,-4.58
EMG1,day 21,-0.48,-4.51
EML4,day 5,0.46,0.09
EML4,day 13,0.82,-0.17
EML4,day 21,0.82,0.71
ENDOG,day 5,-1.04,-0.01
ENDOG,day 13,0.24,1.06
ENDOG,day 21,0.14,1.16
ENDOU,day 5,-0.46,0.11
ENDOU,day 13,-0.43,0.47
ENDOU,day 21,-0.82,0.92
ENDOV,day 5,0.44,-0.15
ENDOV,day 13,2.02,0.47
ENDOV,day 21,1.33,0.32
ENO1,day 5,-1.38,0.12
ENO1,day 13,-1.3,-2.25
ENO1,day 21,-1.18,-2.64
ENOX1,day 5,-0.96,0.43
ENOX1,day 13,-0.5,0.66
ENOX1,day 21,-0.75,1.37
ENOX2,day 5,0.6,0.11
ENOX2,day 13,1.25,1.12
ENOX2,day 21,2.01,1.93
ENSA,day 5,0.82,-0.09
ENSA,day 13,0.99,0.79
ENSA,day 21,0.06,1.4
EPB41,day 5,0.48,-0.05
EPB41,day 13,0.85,0.61
EPB41,day 21,0.58,0.9
EPB41L2,day 5,0.56,0.11
EPB41L2,day 13,1.94,1.35
EPB41L2,day 21,2,2.21
EPPK1,day 5,-0.17,-0.06
EPPK1,day 13,0.86,0.68
EPPK1,day 21,1.18,1.69
EPRS1,day 5,0.38,-0.2
EPRS1,day 13,-2.27,-3.89
EPRS1,day 21,-2.46,-3.98
EPS8L3,day 5,0.01,-0.14
EPS8L3,day 13,0.28,0.29
EPS8L3,day 21,0.11,0.72
ERAL1,day 5,-0.29,0.14
ERAL1,day 13,-0.79,-0.33
ERAL1,day 21,-2.4,-0.69
ERF,day 5,-0.59,-0.42
ERF,day 13,0.42,0.38
ERF,day 21,1.25,0.66
ERH,day 5,-0.27,0.1
ERH,day 13,-1.66,-4.69
ERH,day 21,-1.26,-4.56
ERI1,day 5,-0.24,0.24
ERI1,day 13,0.86,1.35
ERI1,day 21,1.2,1.79
ERI2,day 5,-0.21,-0.06
ERI2,day 13,1.36,1.23
ERI2,day 21,2.46,2.26
ERI3,day 5,-0.03,0.33
ERI3,day 13,1.63,1.3
ERI3,day 21,2.45,2.11
ERN1,day 5,0.91,0.54
ERN1,day 13,1.58,1.61
ERN1,day 21,2,2.45
ERN2,day 5,0.87,0.3
ERN2,day 13,1.58,1.67
ERN2,day 21,2.53,2.52
ERP29,day 5,0.27,0.19
ERP29,day 13,0.91,1.19
ERP29,day 21,0.72,1.55
ESF1,day 5,-1.88,-0.86
ESF1,day 13,-0.33,-2.56
ESF1,day 21,-2.04,-2.49
ESRP1,day 5,0.43,0.19
ESRP1,day 13,0.49,0.79
ESRP1,day 21,0.49,0.99
ESRP2,day 5,0.17,0.2
ESRP2,day 13,1.46,1.29
ESRP2,day 21,1.67,2.26
ESS2,day 5,-0.04,-0.11
ESS2,day 13,-0.73,-0.98
ESS2,day 21,-0.11,-0.86
ETF1,day 5,-0.83,-1.24
ETF1,day 13,-1.94,-3.26
ETF1,day 21,-1.23,-4.24
EWSR1,day 5,-0.85,-0.14
EWSR1,day 13,-1.37,-0.95
EWSR1,day 21,-0.88,-1.18
EXO1,day 5,0.51,0.18
EXO1,day 13,1.01,0.89
EXO1,day 21,1.53,1.16
EXOG,day 5,-0.69,0.04
EXOG,day 13,0.12,0.86
EXOG,day 21,0.86,1.55
EXOSC1,day 5,-0.1,0.4
EXOSC1,day 13,1.36,1.12
EXOSC1,day 21,1.33,1.61
EXOSC10,day 5,-0.56,-0.21
EXOSC10,day 13,-2.25,-2.88
EXOSC10,day 21,-1.84,-3.95
EXOSC2,day 5,0.33,-0.29
EXOSC2,day 13,-2.75,-5.56
EXOSC2,day 21,-1.26,-4.93
EXOSC3,day 5,0.4,0.18
EXOSC3,day 13,-1.03,-0.48
EXOSC3,day 21,-0.89,-0.19
EXOSC4,day 5,-0.05,-0.23
EXOSC4,day 13,-1.78,-5.03
EXOSC4,day 21,-2.14,-4.44
EXOSC5,day 5,0.61,0.36
EXOSC5,day 13,0.33,-2.64
EXOSC5,day 21,1.03,-3.52
EXOSC6,day 5,0.14,-0.48
EXOSC6,day 13,-1.68,-2.98
EXOSC6,day 21,-2,-2.87
EXOSC7,day 5,-0.28,0.01
EXOSC7,day 13,-1.86,-2.87
EXOSC7,day 21,-1.45,-4
EXOSC8,day 5,-0.67,-0.47
EXOSC8,day 13,-3.55,-5.07
EXOSC8,day 21,-3.2,-5.38
EXOSC9,day 5,-0.34,-0.56
EXOSC9,day 13,-2.34,-5.2
EXOSC9,day 21,-2.46,-5.51
EZH1,day 5,-0.04,0.24
EZH1,day 13,-0.01,0.67
EZH1,day 21,0.34,1.01
EZH2,day 5,-0,0.03
EZH2,day 13,0.21,0.42
EZH2,day 21,-0.28,0.56
EZR,day 5,-0.1,0.2
EZR,day 13,1.17,0.89
EZR,day 21,1.48,1.4
F11R,day 5,0.03,-0.11
F11R,day 13,0.42,0.47
F11R,day 21,1.07,0.91
FADS2,day 5,-0.54,0.2
FADS2,day 13,0.27,0.89
FADS2,day 21,0.82,1.78
FAM120A,day 5,0.86,0.48
FAM120A,day 13,2.04,1.41
FAM120A,day 21,2.81,2.22
FAM120B,day 5,0.39,0.32
FAM120B,day 13,1.81,1.72
FAM120B,day 21,2.55,2.74
FAM120C,day 5,-1.88,0.25
FAM120C,day 13,0.35,0.92
FAM120C,day 21,0.55,1.34
FAM133B,day 5,-0.03,0.06
FAM133B,day 13,0.42,0.64
FAM133B,day 21,1.05,0.97
FAM32A,day 5,-0.31,-0.51
FAM32A,day 13,-0.67,-0.38
FAM32A,day 21,-0.03,0.1
FAM50A,day 5,-0.33,0.16
FAM50A,day 13,0.22,0.35
FAM50A,day 21,-0.45,0.27
FAM98A,day 5,0.08,0.23
FAM98A,day 13,0.93,1.13
FAM98A,day 21,1.23,1.95
FAM98B,day 5,-0.54,0
FAM98B,day 13,-0.2,-1.12
FAM98B,day 21,-0.45,-2.1
FAM98C,day 5,-0.41,0.24
FAM98C,day 13,0.19,0.41
FAM98C,day 21,0.55,0.93
FARS2,day 5,-0.03,0.17
FARS2,day 13,-0.16,-0.91
FARS2,day 21,-1.28,-1.74
FARSA,day 5,-1.39,-0.57
FARSA,day 13,-2.34,-4.9
FARSA,day 21,-1.47,-3.92
FARSB,day 5,0.22,0.04
FARSB,day 13,-1.78,-3.2
FARSB,day 21,-0.01,-2.56
FAS,day 5,0.2,0.24
FAS,day 13,0.99,0.86
FAS,day 21,1.54,1.18
FASN,day 5,0.26,0.19
FASN,day 13,1.3,0.9
FASN,day 21,1.25,1.5
FASTK,day 5,0.87,0.01
FASTK,day 13,0.46,0.52
FASTK,day 21,1.55,1.02
FASTKD1,day 5,0.5,0.17
FASTKD1,day 13,1.12,1.08
FASTKD1,day 21,0.86,1.3
FASTKD2,day 5,-0.39,-0.07
FASTKD2,day 13,0.17,-0.17
FASTKD2,day 21,-0.42,-1.01
FASTKD3,day 5,-0.1,0.47
FASTKD3,day 13,1.4,1.91
FASTKD3,day 21,1.73,2.59
FASTKD5,day 5,0.21,0.31
FASTKD5,day 13,-0.59,-0.8
FASTKD5,day 21,-0.48,-1.77
FAU,day 5,-1,-1.83
FAU,day 13,-3.87,-6.65
FAU,day 21,-3.4,-5.79
FBL,day 5,-0.87,-0.6
FBL,day 13,-2.68,-5.64
FBL,day 21,-2.47,-4.65
FBN1,day 5,0.39,-0.04
FBN1,day 13,1.06,1.08
FBN1,day 21,1.87,1.81
FBP2,day 5,0.11,-0.09
FBP2,day 13,0.63,0.42
FBP2,day 21,1.2,0.37
FBRSL1,day 5,0.05,0.14
FBRSL1,day 13,1.19,1.37
FBRSL1,day 21,1.55,2.04
FBXO17,day 5,0.37,0.02
FBXO17,day 13,0.93,0.75
FBXO17,day 21,1.12,1.13
FCF1,day 5,0.31,-0.52
FCF1,day 13,-1.86,-4.54
FCF1,day 21,-2.18,-4.72
FDPS,day 5,0.75,0.01
FDPS,day 13,0.06,0.59
FDPS,day 21,0.34,0.62
FDXACB1,day 5,-0.16,-0.28
FDXACB1,day 13,-0,0.18
FDXACB1,day 21,1,0.69
FEN1,day 5,-0.33,-0.02
FEN1,day 13,-0.64,-0.37
FEN1,day 21,-2.9,-2.18
FIP1L1,day 5,0.58,-0.13
FIP1L1,day 13,-0.64,-1.61
FIP1L1,day 21,-2.17,-1.08
FKBP1A,day 5,-0.53,-0.61
FKBP1A,day 13,-0.4,-0.2
FKBP1A,day 21,-1.64,-0.1
FKBP2,day 5,0.09,0.22
FKBP2,day 13,0.66,0.58
FKBP2,day 21,1.05,0.8
FKBP3,day 5,-0.02,0.22
FKBP3,day 13,0.56,0.91
FKBP3,day 21,0.96,1.82
FKBP4,day 5,-0.02,0.34
FKBP4,day 13,1.5,1.35
FKBP4,day 21,1.77,1.91
FLNA,day 5,-0.03,-0.12
FLNA,day 13,0.77,0.86
FLNA,day 21,1.12,0.52
FLNB,day 5,-0.74,-0.38
FLNB,day 13,-0.24,0.25
FLNB,day 21,0.41,0.82
FLUC,day 5,-0.27,0.1
FLUC,day 13,1,1.1
FLUC,day 21,1.03,1.51
FLYWCH2,day 5,0.14,-0.01
FLYWCH2,day 13,1.12,1.03
FLYWCH2,day 21,1.42,1.53
FMR1,day 5,0.43,0.03
FMR1,day 13,0.85,0.89
FMR1,day 21,0.73,1.24
FN1,day 5,0.47,0.09
FN1,day 13,0.55,0.74
FN1,day 21,0.59,1.26
FNDC3A,day 5,-0.2,0.11
FNDC3A,day 13,1.19,1.64
FNDC3A,day 21,1.81,2.61
FNDC3B,day 5,0.06,0.01
FNDC3B,day 13,-0.01,-0.05
FNDC3B,day 21,0.12,0.26
FRG1,day 5,0.5,0.02
FRG1,day 13,0.81,-0.41
FRG1,day 21,0.23,-0.69
FSCN1,day 5,0.13,0.17
FSCN1,day 13,1.24,1.13
FSCN1,day 21,1.8,2.01
FTO,day 5,-0.96,-0.05
FTO,day 13,0.13,-1.06
FTO,day 21,0.94,-1.56
FTSJ1,day 5,0.65,0.17
FTSJ1,day 13,1,0.84
FTSJ1,day 21,1.39,1.47
FTSJ3,day 5,0.62,-0.33
FTSJ3,day 13,-1.78,-4.88
FTSJ3,day 21,-1.07,-4.88
FUBP1,day 5,-0.22,-0.26
FUBP1,day 13,-0.71,-0.18
FUBP1,day 21,-1.25,-0.24
FUBP3,day 5,0.29,0.15
FUBP3,day 13,0.85,0.91
FUBP3,day 21,0.6,1.23
FUS,day 5,-0.05,-0.04
FUS,day 13,0.33,0.37
FUS,day 21,0.26,0.76
FXR1,day 5,0.89,0.09
FXR1,day 13,1.29,1.15
FXR1,day 21,1.43,2.11
FXR2,day 5,-0.1,0.03
FXR2,day 13,1.05,0.97
FXR2,day 21,0.57,1.35
FYTTD1,day 5,0.08,0.1
FYTTD1,day 13,0.95,0.91
FYTTD1,day 21,1.25,1.49
G3BP1,day 5,0.07,-0.48
G3BP1,day 13,0.92,-0.08
G3BP1,day 21,0.06,-0.44
G3BP2,day 5,0.1,0.06
G3BP2,day 13,0.66,0.9
G3BP2,day 21,1.57,1.5
GANAB,day 5,-0.76,-0.12
GANAB,day 13,0.36,0.34
GANAB,day 21,0.37,0.7
GAPDH,day 5,0.63,0.08
GAPDH,day 13,-2.2,-3.48
GAPDH,day 21,-2.4,-6.02
GAR1,day 5,-0.07,-0.3
GAR1,day 13,-0.07,-0.85
GAR1,day 21,0.69,-0.34
GARS1,day 5,-0.49,-0.36
GARS1,day 13,-2.23,-4.95
GARS1,day 21,-2.35,-4.81
GAS2,day 5,-0.24,0.01
GAS2,day 13,0.76,1.03
GAS2,day 21,1.32,1.48
GATB,day 5,0.42,0.1
GATB,day 13,-0.99,-1.21
GATB,day 21,-2.7,-4.6
GATC,day 5,0.82,-0.19
GATC,day 13,0.21,-0.07
GATC,day 21,-1,-0.11
GCFC2,day 5,0.28,0.11
GCFC2,day 13,0.74,0.48
GCFC2,day 21,0.69,1.04
GCN1,day 5,0.13,-0.45
GCN1,day 13,-0.85,-0.81
GCN1,day 21,-1.35,-1.69
GDI2,day 5,-0.08,0.21
GDI2,day 13,1,0.62
GDI2,day 21,0.01,0.82
GEMIN2,day 5,0.13,0.08
GEMIN2,day 13,-0.99,-1.64
GEMIN2,day 21,-1.25,-1.74
GEMIN4,day 5,0.63,0.26
GEMIN4,day 13,-1.85,-2.48
GEMIN4,day 21,-1.13,-3.91
GEMIN5,day 5,0.25,-0.03
GEMIN5,day 13,-0.52,-1.56
GEMIN5,day 21,-0.56,-2.83
GEMIN6,day 5,-0.29,-0.22
GEMIN6,day 13,-2.83,-2.67
GEMIN6,day 21,-2.12,-3.24
GEMIN7,day 5,0.65,0.4
GEMIN7,day 13,-1.9,-2.38
GEMIN7,day 21,-1.06,-2.99
GEMIN8,day 5,-0.5,0.14
GEMIN8,day 13,-2.5,-3.3
GEMIN8,day 21,-2.41,-4.01
GFM1,day 5,0.31,-0.48
GFM1,day 13,-1.22,-2.25
GFM1,day 21,-2.62,-3.18
GFM2,day 5,1.1,0.09
GFM2,day 13,1.67,-0.22
GFM2,day 21,0.55,-2.71
GGCT,day 5,-0.08,-0.05
GGCT,day 13,0.5,0.95
GGCT,day 21,1.55,1.42
GIGYF2,day 5,0.33,0.18
GIGYF2,day 13,0.35,0.38
GIGYF2,day 21,-0.24,0.23
GLE1,day 5,-0.43,0.15
GLE1,day 13,-0.92,-0.93
GLE1,day 21,-0.33,-2.07
GLRX3,day 5,-0.17,0.22
GLRX3,day 13,0.73,0.98
GLRX3,day 21,0.09,0.87
GMPR2,day 5,0.19,-0.16
GMPR2,day 13,0.22,-0.01
GMPR2,day 21,-0.26,0.19
GNE,day 5,0.4,0.4
GNE,day 13,1.65,1.51
GNE,day 21,2.47,2.52
GNL1,day 5,-0.26,-0.33
GNL1,day 13,0.36,0.3
GNL1,day 21,0.89,0.6
GNL2,day 5,-0.26,0.26
GNL2,day 13,-1.61,-2.41
GNL2,day 21,-1.31,-3.99
GNL3,day 5,0.39,-0.21
GNL3,day 13,-1.67,-4.79
GNL3,day 21,-1.59,-4.92
GNL3L,day 5,0.58,0.11
GNL3L,day 13,-1.09,-2.72
GNL3L,day 21,-2.39,-4
GOLGA4,day 5,-1.07,-0.11
GOLGA4,day 13,-0.51,0.66
GOLGA4,day 21,-0.38,0.77
GOLGB1,day 5,0.09,0.18
GOLGB1,day 13,0.6,1.02
GOLGB1,day 21,1.21,1.96
GOT2,day 5,-0.04,0.29
GOT2,day 13,0.91,1.11
GOT2,day 21,1.51,1.82
GP2,day 5,0.34,-0.04
GP2,day 13,0.34,0.73
GP2,day 21,2.35,1.31
GPATCH1,day 5,-0.9,0.27
GPATCH1,day 13,-1.69,-1.61
GPATCH1,day 21,-1.5,-1.43
GPATCH4,day 5,-0.24,-0
GPATCH4,day 13,0.32,0.34
GPATCH4,day 21,0.53,0.13
GPATCH8,day 5,1,-0.02
GPATCH8,day 13,0.09,-0.25
GPATCH8,day 21,-0.24,-0.81
GPKOW,day 5,-0.16,0.05
GPKOW,day 13,-2.09,-1.72
GPKOW,day 21,-2.3,-1.84
GPR161,day 5,-0.48,0.32
GPR161,day 13,1.17,1.32
GPR161,day 21,1.65,2.24
GRB2,day 5,0.17,0.12
GRB2,day 13,1.13,0.93
GRB2,day 21,1.01,1.27
GRN,day 5,0.3,0.16
GRN,day 13,0.62,1.08
GRN,day 21,1.09,1.1
GRPEL2,day 5,0.2,-0.03
GRPEL2,day 13,-0,0.11
GRPEL2,day 21,0.38,0.07
GRSF1,day 5,1.1,-0.24
GRSF1,day 13,-0.11,-1.95
GRSF1,day 21,0.52,-2.81
GRWD1,day 5,0.66,0.47
GRWD1,day 13,0.06,-0.1
GRWD1,day 21,-0.94,-1.23
GSPT1,day 5,-0.53,-0.41
GSPT1,day 13,-1.4,-1.1
GSPT1,day 21,-0.56,-1.4
GSPT2,day 5,0.74,0.34
GSPT2,day 13,1.31,0.95
GSPT2,day 21,2.06,1.34
GSTP1,day 5,0.14,0.04
GSTP1,day 13,1.05,0.72
GSTP1,day 21,1.09,1.56
GTF2E2,day 5,-1.09,-0.73
GTF2E2,day 13,-2.11,-4.57
GTF2E2,day 21,-1.39,-3.59
GTF2F1,day 5,0.48,-0.11
GTF2F1,day 13,-0.13,-1.12
GTF2F1,day 21,0.14,-1.07
GTF3A,day 5,0.22,0.19
GTF3A,day 13,-1.53,-1.63
GTF3A,day 21,-2.83,-3.28
GTPBP1,day 5,-0.37,-0.16
GTPBP1,day 13,-0.13,0.25
GTPBP1,day 21,-0.33,-0.16
GTPBP10,day 5,0.63,0.54
GTPBP10,day 13,0.14,-1.31
GTPBP10,day 21,-1.93,-4.96
GTPBP2,day 5,0.16,0.06
GTPBP2,day 13,0.42,0.78
GTPBP2,day 21,1.12,1.28
GTPBP3,day 5,0.21,0.03
GTPBP3,day 13,0.41,0.26
GTPBP3,day 21,-0.79,-0.45
GTPBP4,day 5,-0.61,-0.21
GTPBP4,day 13,-2.72,-4.38
GTPBP4,day 21,-2,-4.21
GUF1,day 5,0.33,0.2
GUF1,day 13,0.92,0.79
GUF1,day 21,1.18,1.25
H1-0,day 5,-0.19,-0.01
H1-0,day 13,1.41,0.9
H1-0,day 21,1.71,1.67
H1-10,day 5,0.52,-0.21
H1-10,day 13,0.46,0.4
H1-10,day 21,0.52,1.27
H1-2,day 5,-0.5,0.11
H1-2,day 13,-0.06,0.93
H1-2,day 21,0.1,1.21
H1-3,day 5,1.03,0.06
H1-3,day 13,2.06,0.95
H1-3,day 21,2.22,1.59
H1-4,day 5,0.39,-0.1
H1-4,day 13,0.77,0.03
H1-4,day 21,1.39,-0.38
H1-5,day 5,-0.06,0.32
H1-5,day 13,1.4,1.76
H1-5,day 21,1.72,2.79
H4C1,day 5,-0.18,0.08
H4C1,day 13,0.72,1.08
H4C1,day 21,0.41,1.58
H4C12,day 5,-0.81,-0.22
H4C12,day 13,-0.5,0.17
H4C12,day 21,-0.25,0.75
H4C13,day 5,-0.1,0.26
H4C13,day 13,1.1,1
H4C13,day 21,0.98,1.06
H4C15,day 5,0.01,-0.45
H4C15,day 13,0.27,-0.75
H4C15,day 21,-0.81,-0.59
H4C2,day 5,-0.18,0.1
H4C2,day 13,0.27,0.72
H4C2,day 21,0.87,1.57
H4C4,day 5,0.4,0.18
H4C4,day 13,1.53,1.35
H4C4,day 21,1.87,1.99
H4C5,day 5,0.88,0.25
H4C5,day 13,0.61,0.91
H4C5,day 21,0.14,0.88
H4C6,day 5,-0.38,-0.1
H4C6,day 13,0.31,0.61
H4C6,day 21,0.84,1.07
H4C8,day 5,-0.1,0.33
H4C8,day 13,0.46,0.9
H4C8,day 21,1.15,1.64
HABP4,day 5,-0.2,0.01
HABP4,day 13,-0.2,0.49
HABP4,day 21,0.9,0.82
HADH,day 5,0.51,0.02
HADH,day 13,0.89,0.78
HADH,day 21,1.37,1.81
HADHB,day 5,-0.79,0.33
HADHB,day 13,1.04,1.38
HADHB,day 21,0.88,2.25
HAP1,day 5,0.56,0.14
HAP1,day 13,1.12,1.16
HAP1,day 21,1.63,1.77
HARS1,day 5,-0.59,-0.23
HARS1,day 13,-2.26,-4.26
HARS1,day 21,-1.83,-3.9
HARS2,day 5,0.5,0.11
HARS2,day 13,-0.64,-2.16
HARS2,day 21,-2.57,-4.07
HAS1,day 5,0.67,0.4
HAS1,day 13,2.04,1.56
HAS1,day 21,2.46,2.21
HBS1L,day 5,0.59,0.22
HBS1L,day 13,0.67,0.74
HBS1L,day 21,-0.06,0.15
HDAC2,day 5,0.64,0.18
HDAC2,day 13,1.43,0.91
HDAC2,day 21,1.85,1.4
HDGF,day 5,0.02,-0.3
HDGF,day 13,0.79,0.08
HDGF,day 21,-0.17,0.56
HDLBP,day 5,0.86,-0.12
HDLBP,day 13,1.76,0.52
HDLBP,day 21,1.31,0.77
HEATR1,day 5,0.26,0.11
HEATR1,day 13,-3.2,-4.04
HEATR1,day 21,-2.23,-4.6
HEATR6,day 5,-0.01,-0.19
HEATR6,day 13,0.64,0.23
HEATR6,day 21,0.24,0.7
HELZ,day 5,-0.07,-0.2
HELZ,day 13,0.04,-0.67
HELZ,day 21,-0.7,-0.67
HELZ2,day 5,-0.24,0.27
HELZ2,day 13,0.86,1.13
HELZ2,day 21,1.38,1.75
HENMT1,day 5,-0.44,0.28
HENMT1,day 13,0.21,0.53
HENMT1,day 21,-0.24,0.94
HERC5,day 5,0.18,0.16
HERC5,day 13,0.55,0.36
HERC5,day 21,1.46,1.65
HEXIM1,day 5,-0.15,-0.06
HEXIM1,day 13,-1.37,-0.28
HEXIM1,day 21,-0.4,-1.14
HEXIM2,day 5,0.18,0.29
HEXIM2,day 13,1.16,0.83
HEXIM2,day 21,1.39,1.13
HIBADH,day 5,0.23,0.22
HIBADH,day 13,1.6,1.37
HIBADH,day 21,2.1,2.29
HINT3,day 5,0.03,0.28
HINT3,day 13,0.98,1.33
HINT3,day 21,1.29,1.94
HLA-A,day 5,0.09,0.29
HLA-A,day 13,1.51,1.46
HLA-A,day 21,2.1,2.2
HLTF,day 5,0.45,0.05
HLTF,day 13,1.3,1.38
HLTF,day 21,3,2.44
HMGA1,day 5,-0.72,-0.52
HMGA1,day 13,-1.35,-1.82
HMGA1,day 21,-1.58,-2.67
HMGB1,day 5,0.1,-1.05
HMGB1,day 13,-1.62,-4.21
HMGB1,day 21,-1.3,-4.33
HMGB2,day 5,-0.02,-0.2
HMGB2,day 13,1.6,1.06
HMGB2,day 21,1.49,1.75
HMGB3,day 5,-0.1,-0.18
HMGB3,day 13,-0.48,-0.03
HMGB3,day 21,-0.59,-0.57
HMGN2,day 5,-0.04,0.13
HMGN2,day 13,0.81,0.66
HMGN2,day 21,0.97,1.53
HMGN5,day 5,0.53,0.14
HMGN5,day 13,0.17,0.76
HMGN5,day 21,0.21,0.09
HNRNPA0,day 5,-0.66,-0.24
HNRNPA0,day 13,-0.77,0.67
HNRNPA0,day 21,0.53,0.57
HNRNPA1,day 5,0.14,-0.56
HNRNPA1,day 13,-0.14,-1.46
HNRNPA1,day 21,-1.32,-2.51
HNRNPA1L2,day 5,-0.98,-0.55
HNRNPA1L2,day 13,-2.36,-1.68
HNRNPA1L2,day 21,-1.55,-2.28
HNRNPA2B1,day 5,0.37,0.21
HNRNPA2B1,day 13,0.75,0.47
HNRNPA2B1,day 21,0.69,0.17
HNRNPA3,day 5,-0.56,-0.14
HNRNPA3,day 13,0.01,-0.03
HNRNPA3,day 21,-0.01,-0.18
HNRNPAB,day 5,-0.15,0.14
HNRNPAB,day 13,1.38,1.38
HNRNPAB,day 21,1.66,1.98
HNRNPC,day 5,0.5,-0.25
HNRNPC,day 13,-1.53,-3.86
HNRNPC,day 21,-0.5,-3.51
HNRNPCL1,day 5,0.58,0.21
HNRNPCL1,day 13,0.84,0.67
HNRNPCL1,day 21,1.54,1.38
HNRNPD,day 5,0.72,-0.45
HNRNPD,day 13,1.24,0.48
HNRNPD,day 21,1.21,0.54
HNRNPDL,day 5,-0.35,-0.18
HNRNPDL,day 13,0.46,-0.01
HNRNPDL,day 21,-0.31,0.04
HNRNPF,day 5,0.47,0.19
HNRNPF,day 13,0.91,0.7
HNRNPF,day 21,1.54,0.89
HNRNPH1,day 5,-0.02,-0.45
HNRNPH1,day 13,-2.35,-2.8
HNRNPH1,day 21,-1.91,-2.8
HNRNPH2,day 5,-0.1,-0.33
HNRNPH2,day 13,0.03,-0.07
HNRNPH2,day 21,0.91,0.3
HNRNPH3,day 5,0.01,0.12
HNRNPH3,day 13,0.04,0.8
HNRNPH3,day 21,0.77,1.34
HNRNPK,day 5,-0.23,-0.15
HNRNPK,day 13,-3.23,-5.51
HNRNPK,day 21,-2.51,-4.09
HNRNPL,day 5,-0.02,0.35
HNRNPL,day 13,-1.46,-2.52
HNRNPL,day 21,-1.09,-2.46
