gene_name,lfc_ctrl,lfc,compare
PPM1K,0.6,0.522,"GCN1 sgRNA 3,4"
METTL2B,0.405,0.522,"GCN1 sgRNA 3,4"
RHOT2,0.333,0.522,"GCN1 sgRNA 3,4"
H3-3B,0.107,0.522,"GCN1 sgRNA 3,4"
PEX13,0.615,0.521,"GCN1 sgRNA 3,4"
DPYSL3,-0.207,0.521,"GCN1 sgRNA 3,4"
H2AX,-0.323,0.521,"GCN1 sgRNA 3,4"
IDI1,-0.23,0.52,"GCN1 sgRNA 3,4"
ZBTB34,0.052,0.519,"GCN1 sgRNA 3,4"
CHEK1,0.544,0.519,"GCN1 sgRNA 3,4"
GGT7,0.474,0.519,"GCN1 sgRNA 3,4"
CIRBP,0.416,0.519,"GCN1 sgRNA 3,4"
PROSER3,0.675,0.519,"GCN1 sgRNA 3,4"
CASP10,1.025,0.518,"GCN1 sgRNA 3,4"
RNF114,0.466,0.518,"GCN1 sgRNA 3,4"
YJU2,0.476,0.518,"GCN1 sgRNA 3,4"
SPRTN,0.594,0.517,"GCN1 sgRNA 3,4"
PRKAB2,0.877,0.517,"GCN1 sgRNA 3,4"
XRRA1,0.938,0.517,"GCN1 sgRNA 3,4"
WASHC4,0.539,0.517,"GCN1 sgRNA 3,4"
TROAP,0.272,0.517,"GCN1 sgRNA 3,4"
CFAP119,0.334,0.517,"GCN1 sgRNA 3,4"
DCAF15,0.326,0.517,"GCN1 sgRNA 3,4"
RPF2,0.121,0.516,"GCN1 sgRNA 3,4"
MCM3,0.339,0.516,"GCN1 sgRNA 3,4"
CUX1,0.326,0.516,"GCN1 sgRNA 3,4"
TSC22D3,0.318,0.516,"GCN1 sgRNA 3,4"
GRIPAP1,0.311,0.516,"GCN1 sgRNA 3,4"
NDUFAF5,0.438,0.516,"GCN1 sgRNA 3,4"
ABCA7,0.528,0.516,"GCN1 sgRNA 3,4"
C3orf62,1.18,0.515,"GCN1 sgRNA 3,4"
ABHD11,0.633,0.515,"GCN1 sgRNA 3,4"
MIGA2,0.354,0.515,"GCN1 sgRNA 3,4"
TULP3,0.257,0.515,"GCN1 sgRNA 3,4"
KIF7,0.487,0.515,"GCN1 sgRNA 3,4"
RBBP5,0.459,0.514,"GCN1 sgRNA 3,4"
PRKCE,0.26,0.514,"GCN1 sgRNA 3,4"
ADAM17,0.515,0.514,"GCN1 sgRNA 3,4"
ZNF621,0.48,0.514,"GCN1 sgRNA 3,4"
LRRC8A,-0.484,0.514,"GCN1 sgRNA 3,4"
PMM1,0.067,0.514,"GCN1 sgRNA 3,4"
ZNF623,0.781,0.513,"GCN1 sgRNA 3,4"
IBA57,0.389,0.512,"GCN1 sgRNA 3,4"
CCDC18,0.798,0.512,"GCN1 sgRNA 3,4"
ACAD10,0.592,0.512,"GCN1 sgRNA 3,4"
CDK10,0.578,0.512,"GCN1 sgRNA 3,4"
TGIF2,0.47,0.512,"GCN1 sgRNA 3,4"
MRTO4,0.19,0.511,"GCN1 sgRNA 3,4"
ABCC10,0.634,0.511,"GCN1 sgRNA 3,4"
NEU3,0.408,0.511,"GCN1 sgRNA 3,4"
KIAA0586,0.508,0.511,"GCN1 sgRNA 3,4"
MED6,0.289,0.511,"GCN1 sgRNA 3,4"
SNX29,0.482,0.511,"GCN1 sgRNA 3,4"
LPIN1,0.544,0.51,"GCN1 sgRNA 3,4"
ATG12,0.261,0.51,"GCN1 sgRNA 3,4"
HOXC6,0.873,0.51,"GCN1 sgRNA 3,4"
TTC5,0.427,0.51,"GCN1 sgRNA 3,4"
PHF20,0.433,0.51,"GCN1 sgRNA 3,4"
SFPQ,0.26,0.509,"GCN1 sgRNA 3,4"
SUMF1,0.619,0.509,"GCN1 sgRNA 3,4"
HMBOX1,0.294,0.509,"GCN1 sgRNA 3,4"
TGS1,0.139,0.509,"GCN1 sgRNA 3,4"
BMS1,0.243,0.509,"GCN1 sgRNA 3,4"
STXBP4,0.391,0.509,"GCN1 sgRNA 3,4"
TGIF1,-0.076,0.509,"GCN1 sgRNA 3,4"
SRGAP3,0.611,0.508,"GCN1 sgRNA 3,4"
TAB2,0.657,0.508,"GCN1 sgRNA 3,4"
VPS37C,0.474,0.508,"GCN1 sgRNA 3,4"
TCTN1,0.683,0.508,"GCN1 sgRNA 3,4"
SSH2,0.606,0.508,"GCN1 sgRNA 3,4"
ORC5,1.065,0.507,"GCN1 sgRNA 3,4"
SIK2,0.674,0.507,"GCN1 sgRNA 3,4"
GTF2H3,0.406,0.507,"GCN1 sgRNA 3,4"
FBXO33,0.005,0.507,"GCN1 sgRNA 3,4"
CDAN1,0.591,0.507,"GCN1 sgRNA 3,4"
MEX3C,0.428,0.507,"GCN1 sgRNA 3,4"
CHMP1B,0.023,0.506,"GCN1 sgRNA 3,4"
WDR83,0.652,0.506,"GCN1 sgRNA 3,4"
BACH1,0.378,0.506,"GCN1 sgRNA 3,4"
CDK11B,0.321,0.505,"GCN1 sgRNA 3,4"
UBXN7,0.46,0.505,"GCN1 sgRNA 3,4"
TSR2,0.154,0.505,"GCN1 sgRNA 3,4"
ZXDB,0.657,0.505,"GCN1 sgRNA 3,4"
KLC1,-0.239,0.505,"GCN1 sgRNA 3,4"
ERRFI1,0.356,0.504,"GCN1 sgRNA 3,4"
RIMOC1,0.629,0.504,"GCN1 sgRNA 3,4"
AASS,0.138,0.504,"GCN1 sgRNA 3,4"
SMG8,0.15,0.504,"GCN1 sgRNA 3,4"
NOL6,0.26,0.503,"GCN1 sgRNA 3,4"
TMEM42,0.654,0.502,"GCN1 sgRNA 3,4"
ZBTB5,0.306,0.502,"GCN1 sgRNA 3,4"
RPS6KB2,0.172,0.502,"GCN1 sgRNA 3,4"
RNF19B,0.259,0.501,"GCN1 sgRNA 3,4"
DPF2,0.57,0.501,"GCN1 sgRNA 3,4"
PCCA,0.654,0.501,"GCN1 sgRNA 3,4"
PCNX1,0.391,0.501,"GCN1 sgRNA 3,4"
YPEL2,0.779,0.501,"GCN1 sgRNA 3,4"
DNAJC16,0.342,0.5,"GCN1 sgRNA 3,4"
GTPBP10,0.774,0.5,"GCN1 sgRNA 3,4"
VIPAS39,0.521,0.5,"GCN1 sgRNA 3,4"
SLC30A7,0.278,0.499,"GCN1 sgRNA 3,4"
DNAJB4,0.502,0.499,"GCN1 sgRNA 3,4"
SF1,0.306,0.499,"GCN1 sgRNA 3,4"
MOB2,0.285,0.499,"GCN1 sgRNA 3,4"
CDK5RAP1,0.527,0.499,"GCN1 sgRNA 3,4"
CHERP,-0.006,0.499,"GCN1 sgRNA 3,4"
GKAP1,0.843,0.498,"GCN1 sgRNA 3,4"
KIF2C,0.461,0.497,"GCN1 sgRNA 3,4"
RPA2,0.514,0.497,"GCN1 sgRNA 3,4"
TTI1,0.402,0.497,"GCN1 sgRNA 3,4"
SDAD1,0.252,0.496,"GCN1 sgRNA 3,4"
MVK,0.454,0.496,"GCN1 sgRNA 3,4"
FOXO1,0.876,0.496,"GCN1 sgRNA 3,4"
FARS2,0.594,0.495,"GCN1 sgRNA 3,4"
SECISBP2,0.544,0.495,"GCN1 sgRNA 3,4"
ALDH16A1,0.467,0.495,"GCN1 sgRNA 3,4"
SRSF7,0.205,0.494,"GCN1 sgRNA 3,4"
PTCH1,1.101,0.494,"GCN1 sgRNA 3,4"
RRP15,0.146,0.493,"GCN1 sgRNA 3,4"
SLC44A5,0.744,0.493,"GCN1 sgRNA 3,4"
RAB18,0.456,0.493,"GCN1 sgRNA 3,4"
VPS45,0.387,0.492,"GCN1 sgRNA 3,4"
ZSWIM8,0.085,0.492,"GCN1 sgRNA 3,4"
TECPR2,0.115,0.492,"GCN1 sgRNA 3,4"
HDAC4,0.504,0.491,"GCN1 sgRNA 3,4"
GTF2E1,0.769,0.491,"GCN1 sgRNA 3,4"
JMJD6,0.448,0.491,"GCN1 sgRNA 3,4"
ZNF587B,0.909,0.491,"GCN1 sgRNA 3,4"
SEC24B,0.771,0.49,"GCN1 sgRNA 3,4"
IER5L,0.734,0.49,"GCN1 sgRNA 3,4"
EXOSC2,0.554,0.49,"GCN1 sgRNA 3,4"
PCID2,0.433,0.49,"GCN1 sgRNA 3,4"
MNS1,0.485,0.49,"GCN1 sgRNA 3,4"
GCFC2,0.316,0.489,"GCN1 sgRNA 3,4"
ICE1,0.36,0.489,"GCN1 sgRNA 3,4"
DNA2,0.765,0.489,"GCN1 sgRNA 3,4"
ARID3B,0.628,0.489,"GCN1 sgRNA 3,4"
RNF123,0.282,0.488,"GCN1 sgRNA 3,4"
FRYL,0.224,0.488,"GCN1 sgRNA 3,4"
TRIP6,0.202,0.488,"GCN1 sgRNA 3,4"
POLA1,0.4,0.488,"GCN1 sgRNA 3,4"
PAX6,0.484,0.488,"GCN1 sgRNA 3,4"
DCAF5,0.859,0.488,"GCN1 sgRNA 3,4"
HEXIM1,-0.387,0.488,"GCN1 sgRNA 3,4"
PPCS,0.788,0.487,"GCN1 sgRNA 3,4"
RRM2,-0.056,0.487,"GCN1 sgRNA 3,4"
PDE7A,0.316,0.487,"GCN1 sgRNA 3,4"
PLIN2,0.479,0.487,"GCN1 sgRNA 3,4"
CDCA8,0.219,0.486,"GCN1 sgRNA 3,4"
SNRNP27,-0.189,0.486,"GCN1 sgRNA 3,4"
SMC4,0.292,0.486,"GCN1 sgRNA 3,4"
SLU7,0.131,0.486,"GCN1 sgRNA 3,4"
PTPDC1,0.678,0.486,"GCN1 sgRNA 3,4"
POLL,0.459,0.486,"GCN1 sgRNA 3,4"
FAM241B,0.436,0.486,"GCN1 sgRNA 3,4"
TUBA1A,-0.429,0.486,"GCN1 sgRNA 3,4"
ZMYM1,0.379,0.485,"GCN1 sgRNA 3,4"
NBEAL1,0.389,0.485,"GCN1 sgRNA 3,4"
TRIM59,0.606,0.485,"GCN1 sgRNA 3,4"
ARMCX5,0.516,0.485,"GCN1 sgRNA 3,4"
SMC5,0.256,0.485,"GCN1 sgRNA 3,4"
MOK,0.459,0.485,"GCN1 sgRNA 3,4"
HEXIM2,1.216,0.485,"GCN1 sgRNA 3,4"
ENDOV,0.293,0.485,"GCN1 sgRNA 3,4"
GOSR2,0.404,0.485,"GCN1 sgRNA 3,4"
CRNKL1,0.356,0.485,"GCN1 sgRNA 3,4"
AHCTF1,0.287,0.484,"GCN1 sgRNA 3,4"
CACNA2D3,0.602,0.484,"GCN1 sgRNA 3,4"
TWNK,0.171,0.484,"GCN1 sgRNA 3,4"
CHTF18,0.441,0.484,"GCN1 sgRNA 3,4"
DGKD,0.029,0.483,"GCN1 sgRNA 3,4"
TGOLN2,0.549,0.483,"GCN1 sgRNA 3,4"
LSG1,0.396,0.483,"GCN1 sgRNA 3,4"
ATXN1,0.176,0.483,"GCN1 sgRNA 3,4"
PDE10A,0.571,0.483,"GCN1 sgRNA 3,4"
EXOC6,0.535,0.483,"GCN1 sgRNA 3,4"
PRPF18,-0.27,0.483,"GCN1 sgRNA 3,4"
TOX2,0.759,0.483,"GCN1 sgRNA 3,4"
ESS2,0.158,0.483,"GCN1 sgRNA 3,4"
NUP153,0.267,0.481,"GCN1 sgRNA 3,4"
SMCHD1,0.368,0.481,"GCN1 sgRNA 3,4"
PYGO2,0.631,0.48,"GCN1 sgRNA 3,4"
PIGG,0.336,0.48,"GCN1 sgRNA 3,4"
DOK3,0.53,0.48,"GCN1 sgRNA 3,4"
LEMD3,0.203,0.48,"GCN1 sgRNA 3,4"
IQCK,0.633,0.48,"GCN1 sgRNA 3,4"
UBE2T,-0.442,0.479,"GCN1 sgRNA 3,4"
GLB1L,0.615,0.479,"GCN1 sgRNA 3,4"
ZFYVE16,0.369,0.479,"GCN1 sgRNA 3,4"
COQ5,0.59,0.479,"GCN1 sgRNA 3,4"
ING4,0.751,0.479,"GCN1 sgRNA 3,4"
WIPF2,0.366,0.479,"GCN1 sgRNA 3,4"
POLE,-0.071,0.478,"GCN1 sgRNA 3,4"
RAB2B,0.345,0.478,"GCN1 sgRNA 3,4"
CEP112,0.59,0.478,"GCN1 sgRNA 3,4"
CBFA2T2,0.326,0.478,"GCN1 sgRNA 3,4"
SAFB,0.275,0.478,"GCN1 sgRNA 3,4"
ZNF580,0.12,0.478,"GCN1 sgRNA 3,4"
ARHGAP26,0.119,0.477,"GCN1 sgRNA 3,4"
CLU,-0.325,0.477,"GCN1 sgRNA 3,4"
NIP7,0.235,0.477,"GCN1 sgRNA 3,4"
ZFPM1,0.523,0.477,"GCN1 sgRNA 3,4"
GTPBP8,0.331,0.476,"GCN1 sgRNA 3,4"
HIPK3,0.513,0.476,"GCN1 sgRNA 3,4"
GFER,0.602,0.476,"GCN1 sgRNA 3,4"
NCOA5,0.286,0.476,"GCN1 sgRNA 3,4"
DXO,0.228,0.475,"GCN1 sgRNA 3,4"
CALCB,-0.312,0.475,"GCN1 sgRNA 3,4"
VEZT,0.227,0.475,"GCN1 sgRNA 3,4"
USPL1,-0.195,0.475,"GCN1 sgRNA 3,4"
ABCD4,0.567,0.475,"GCN1 sgRNA 3,4"
ZNF213,0.873,0.475,"GCN1 sgRNA 3,4"
ZNF133,0.922,0.475,"GCN1 sgRNA 3,4"
DUSP12,0.532,0.474,"GCN1 sgRNA 3,4"
ASTE1,0.574,0.474,"GCN1 sgRNA 3,4"
ARFGEF2,0.113,0.474,"GCN1 sgRNA 3,4"
CBY1,0.386,0.474,"GCN1 sgRNA 3,4"
CEPT1,0.643,0.473,"GCN1 sgRNA 3,4"
ATP8A1,0.593,0.473,"GCN1 sgRNA 3,4"
DDX56,0.372,0.473,"GCN1 sgRNA 3,4"
TRAF2,0.74,0.473,"GCN1 sgRNA 3,4"
RSF1,0.549,0.473,"GCN1 sgRNA 3,4"
TFB2M,0.553,0.472,"GCN1 sgRNA 3,4"
KLF11,0.999,0.472,"GCN1 sgRNA 3,4"
YIPF4,0.089,0.472,"GCN1 sgRNA 3,4"
BIRC6,0.231,0.472,"GCN1 sgRNA 3,4"
TMF1,0.184,0.472,"GCN1 sgRNA 3,4"
BAG1,-0.044,0.472,"GCN1 sgRNA 3,4"
MDM2,0.204,0.472,"GCN1 sgRNA 3,4"
RBMX2,0.252,0.471,"GCN1 sgRNA 3,4"
CEP57,0.448,0.471,"GCN1 sgRNA 3,4"
NEMF,0.621,0.471,"GCN1 sgRNA 3,4"
DBF4B,0.309,0.471,"GCN1 sgRNA 3,4"
LAMA3,0.504,0.471,"GCN1 sgRNA 3,4"
PMEPA1,0.86,0.471,"GCN1 sgRNA 3,4"
DNTTIP2,0.299,0.47,"GCN1 sgRNA 3,4"
CCDC14,0.288,0.47,"GCN1 sgRNA 3,4"
TRA2A,0.005,0.47,"GCN1 sgRNA 3,4"
UPF2,0.385,0.47,"GCN1 sgRNA 3,4"
MORN1,0.434,0.469,"GCN1 sgRNA 3,4"
POLR3C,0.525,0.469,"GCN1 sgRNA 3,4"
SEMA6C,0.11,0.468,"GCN1 sgRNA 3,4"
RPF1,0.259,0.468,"GCN1 sgRNA 3,4"
AADAT,0.654,0.468,"GCN1 sgRNA 3,4"
GSPT2,0.565,0.468,"GCN1 sgRNA 3,4"
PLAA,0.414,0.468,"GCN1 sgRNA 3,4"
RABGGTB,0.154,0.467,"GCN1 sgRNA 3,4"
STK3,0.455,0.467,"GCN1 sgRNA 3,4"
RBM4B,0.597,0.467,"GCN1 sgRNA 3,4"
PHF21A,0.826,0.467,"GCN1 sgRNA 3,4"
COIL,0.563,0.467,"GCN1 sgRNA 3,4"
CFAP410,0.152,0.467,"GCN1 sgRNA 3,4"
B3GNT2,0.021,0.466,"GCN1 sgRNA 3,4"
TYW1,0.597,0.466,"GCN1 sgRNA 3,4"
DUS2,0.211,0.466,"GCN1 sgRNA 3,4"
NELFA,0.587,0.465,"GCN1 sgRNA 3,4"
APPBP2,0.502,0.465,"GCN1 sgRNA 3,4"
SPATA5,0.789,0.464,"GCN1 sgRNA 3,4"
SYNJ2,0.568,0.464,"GCN1 sgRNA 3,4"
TAF2,0.285,0.464,"GCN1 sgRNA 3,4"
CWF19L2,0.563,0.464,"GCN1 sgRNA 3,4"
TXNDC16,0.767,0.464,"GCN1 sgRNA 3,4"
RDH13,0.401,0.464,"GCN1 sgRNA 3,4"
SLC19A2,-0.152,0.463,"GCN1 sgRNA 3,4"
NUDT12,0.641,0.463,"GCN1 sgRNA 3,4"
ZFHX4,0.633,0.463,"GCN1 sgRNA 3,4"
PHF20L1,0.391,0.463,"GCN1 sgRNA 3,4"
BMF,1.194,0.463,"GCN1 sgRNA 3,4"
ELP2,0.354,0.463,"GCN1 sgRNA 3,4"
WDR36,0.224,0.462,"GCN1 sgRNA 3,4"
RIPK1,0.144,0.462,"GCN1 sgRNA 3,4"
AKAP9,0.56,0.462,"GCN1 sgRNA 3,4"
OXR1,0.472,0.462,"GCN1 sgRNA 3,4"
CNST,0.462,0.461,"GCN1 sgRNA 3,4"
ZNF672,0.395,0.461,"GCN1 sgRNA 3,4"
SYT14,0.76,0.461,"GCN1 sgRNA 3,4"
CEP68,0.665,0.461,"GCN1 sgRNA 3,4"
SIX1,1.022,0.461,"GCN1 sgRNA 3,4"
ZNF830,0.257,0.461,"GCN1 sgRNA 3,4"
CYTH2,0.006,0.461,"GCN1 sgRNA 3,4"
UFSP2,0.268,0.46,"GCN1 sgRNA 3,4"
PWWP2A,0.298,0.46,"GCN1 sgRNA 3,4"
AKAP11,0.324,0.46,"GCN1 sgRNA 3,4"
IRF3,0.14,0.46,"GCN1 sgRNA 3,4"
HMGXB4,0.195,0.46,"GCN1 sgRNA 3,4"
FRMD4B,0.991,0.459,"GCN1 sgRNA 3,4"
USP11,0.107,0.459,"GCN1 sgRNA 3,4"
VIRMA,0.262,0.459,"GCN1 sgRNA 3,4"
SETX,0.386,0.459,"GCN1 sgRNA 3,4"
EOMES,1.423,0.458,"GCN1 sgRNA 3,4"
CASP2,0.688,0.458,"GCN1 sgRNA 3,4"
FAN1,0.874,0.458,"GCN1 sgRNA 3,4"
TUBGCP6,-0.06,0.458,"GCN1 sgRNA 3,4"
TTC28,0.519,0.458,"GCN1 sgRNA 3,4"
MARK1,0.639,0.457,"GCN1 sgRNA 3,4"
GTF2H1,0.314,0.457,"GCN1 sgRNA 3,4"
KLC4,0.244,0.456,"GCN1 sgRNA 3,4"
USP49,0.685,0.456,"GCN1 sgRNA 3,4"
ARL4A,0.431,0.456,"GCN1 sgRNA 3,4"
PATL1,0.404,0.456,"GCN1 sgRNA 3,4"
HINFP,0.757,0.456,"GCN1 sgRNA 3,4"
SEC23IP,0.242,0.456,"GCN1 sgRNA 3,4"
NR2C1,0.541,0.456,"GCN1 sgRNA 3,4"
RCBTB2,0.935,0.455,"GCN1 sgRNA 3,4"
WDFY3,0.33,0.454,"GCN1 sgRNA 3,4"
PBDC1,0.06,0.454,"GCN1 sgRNA 3,4"
ZC2HC1A,0.815,0.454,"GCN1 sgRNA 3,4"
GARNL3,0.966,0.454,"GCN1 sgRNA 3,4"
STOX1,1.049,0.454,"GCN1 sgRNA 3,4"
SNRNP35,0.227,0.454,"GCN1 sgRNA 3,4"
TPP2,0.32,0.454,"GCN1 sgRNA 3,4"
NF1,0.175,0.454,"GCN1 sgRNA 3,4"
TP53RK,0.004,0.454,"GCN1 sgRNA 3,4"
ZNF587,0.392,0.454,"GCN1 sgRNA 3,4"
SRRM1,0.358,0.453,"GCN1 sgRNA 3,4"
RAB5A,0.206,0.453,"GCN1 sgRNA 3,4"
KPNA4,0.316,0.453,"GCN1 sgRNA 3,4"
PROSER2,0.938,0.453,"GCN1 sgRNA 3,4"
BAG3,0.074,0.453,"GCN1 sgRNA 3,4"
EEA1,0.584,0.453,"GCN1 sgRNA 3,4"
NT5DC3,0.35,0.453,"GCN1 sgRNA 3,4"
AP3S2,0.52,0.453,"GCN1 sgRNA 3,4"
ZNF414,0.313,0.453,"GCN1 sgRNA 3,4"
ZFP91,0.432,0.452,"GCN1 sgRNA 3,4"
RBM26,0.358,0.452,"GCN1 sgRNA 3,4"
UBE2F,0.157,0.451,"GCN1 sgRNA 3,4"
LDAH,0.616,0.45,"GCN1 sgRNA 3,4"
DZIP3,0.289,0.45,"GCN1 sgRNA 3,4"
PANK3,-0.081,0.45,"GCN1 sgRNA 3,4"
ASB8,0.52,0.45,"GCN1 sgRNA 3,4"
ADNP,0.566,0.45,"GCN1 sgRNA 3,4"
TES,0.282,0.449,"GCN1 sgRNA 3,4"
ZNF398,0.51,0.449,"GCN1 sgRNA 3,4"
TMEM245,0.219,0.449,"GCN1 sgRNA 3,4"
SOS2,0.62,0.449,"GCN1 sgRNA 3,4"
TMEM186,0.612,0.449,"GCN1 sgRNA 3,4"
NOL11,0.266,0.449,"GCN1 sgRNA 3,4"
CEP131,0.58,0.449,"GCN1 sgRNA 3,4"
CYLD,0.017,0.448,"GCN1 sgRNA 3,4"
DDX59,0.239,0.447,"GCN1 sgRNA 3,4"
CKAP2L,0.179,0.447,"GCN1 sgRNA 3,4"
CCNH,0.16,0.447,"GCN1 sgRNA 3,4"
POLR1F,0.383,0.447,"GCN1 sgRNA 3,4"
TSHZ2,0.566,0.447,"GCN1 sgRNA 3,4"
CEP120,0.221,0.446,"GCN1 sgRNA 3,4"
PRDM11,0.166,0.446,"GCN1 sgRNA 3,4"
RBM6,0.293,0.445,"GCN1 sgRNA 3,4"
KHDRBS3,0.343,0.445,"GCN1 sgRNA 3,4"
NGDN,0.235,0.445,"GCN1 sgRNA 3,4"
PEAK1,0.129,0.445,"GCN1 sgRNA 3,4"
MED31,-0.893,0.445,"GCN1 sgRNA 3,4"
NECAB3,0.12,0.445,"GCN1 sgRNA 3,4"
STAMBP,0.256,0.444,"GCN1 sgRNA 3,4"
WDR44,-0.405,0.444,"GCN1 sgRNA 3,4"
GRIP1,0.4,0.444,"GCN1 sgRNA 3,4"
TRIP4,0.383,0.444,"GCN1 sgRNA 3,4"
ZNF146,0.091,0.444,"GCN1 sgRNA 3,4"
WDCP,0.554,0.443,"GCN1 sgRNA 3,4"
SATB2,-0.069,0.443,"GCN1 sgRNA 3,4"
CIP2A,0.146,0.443,"GCN1 sgRNA 3,4"
PPP1R35,0.496,0.443,"GCN1 sgRNA 3,4"
ZNF384,0.47,0.443,"GCN1 sgRNA 3,4"
VPS36,0.31,0.443,"GCN1 sgRNA 3,4"
ACAP3,0.631,0.442,"GCN1 sgRNA 3,4"
SESN1,0.653,0.442,"GCN1 sgRNA 3,4"
ZNF746,0.558,0.442,"GCN1 sgRNA 3,4"
PIP4P1,0.397,0.442,"GCN1 sgRNA 3,4"
ARG2,0.174,0.442,"GCN1 sgRNA 3,4"
PHKG2,0.293,0.442,"GCN1 sgRNA 3,4"
PELP1,0.251,0.442,"GCN1 sgRNA 3,4"
DHX33,0.204,0.442,"GCN1 sgRNA 3,4"
NDUFV3,0.168,0.442,"GCN1 sgRNA 3,4"
NBPF12,0.311,0.441,"GCN1 sgRNA 3,4"
SAP130,0.188,0.441,"GCN1 sgRNA 3,4"
AOPEP,0.68,0.441,"GCN1 sgRNA 3,4"
DUSP11,0.51,0.44,"GCN1 sgRNA 3,4"
TTC14,0.255,0.44,"GCN1 sgRNA 3,4"
TMEM216,0.537,0.44,"GCN1 sgRNA 3,4"
CTDSPL2,0.537,0.44,"GCN1 sgRNA 3,4"
SIAH1,0.498,0.44,"GCN1 sgRNA 3,4"
CHAF1B,0.525,0.44,"GCN1 sgRNA 3,4"
AUNIP,0.769,0.439,"GCN1 sgRNA 3,4"
NEFM,-0.299,0.439,"GCN1 sgRNA 3,4"
ATE1,0.516,0.439,"GCN1 sgRNA 3,4"
DRG2,0.406,0.439,"GCN1 sgRNA 3,4"
SASS6,0.203,0.438,"GCN1 sgRNA 3,4"
SEMA3G,1.094,0.438,"GCN1 sgRNA 3,4"
TTC8,0.49,0.438,"GCN1 sgRNA 3,4"
EDC3,0.448,0.438,"GCN1 sgRNA 3,4"
KIF16B,0.666,0.437,"GCN1 sgRNA 3,4"
ASXL2,0.422,0.436,"GCN1 sgRNA 3,4"
TMEM178B,0.807,0.436,"GCN1 sgRNA 3,4"
FBXO10,0.187,0.436,"GCN1 sgRNA 3,4"
MRRF,0.427,0.436,"GCN1 sgRNA 3,4"
NUP98,0.188,0.436,"GCN1 sgRNA 3,4"
EMG1,0.076,0.436,"GCN1 sgRNA 3,4"
CHAC2,0.567,0.435,"GCN1 sgRNA 3,4"
TBRG4,0.433,0.435,"GCN1 sgRNA 3,4"
SHARPIN,0.479,0.435,"GCN1 sgRNA 3,4"
RPS6KL1,0.501,0.435,"GCN1 sgRNA 3,4"
TMEM87B,0.641,0.434,"GCN1 sgRNA 3,4"
SGO1,0.147,0.434,"GCN1 sgRNA 3,4"
RNGTT,0.185,0.434,"GCN1 sgRNA 3,4"
AGFG2,0.499,0.434,"GCN1 sgRNA 3,4"
ZBTB25,1.748,0.434,"GCN1 sgRNA 3,4"
CRAMP1,-0.128,0.434,"GCN1 sgRNA 3,4"
CNTROB,0.167,0.434,"GCN1 sgRNA 3,4"
C19orf54,0.564,0.434,"GCN1 sgRNA 3,4"
PEX1,0.999,0.433,"GCN1 sgRNA 3,4"
GPHN,0.382,0.433,"GCN1 sgRNA 3,4"
CARMIL2,1.11,0.433,"GCN1 sgRNA 3,4"
RNF168,0.275,0.432,"GCN1 sgRNA 3,4"
PCYOX1L,1.09,0.432,"GCN1 sgRNA 3,4"
THAP1,0.3,0.432,"GCN1 sgRNA 3,4"
POLR1E,0.377,0.432,"GCN1 sgRNA 3,4"
PICALM,0.216,0.432,"GCN1 sgRNA 3,4"
NUMB,0.143,0.432,"GCN1 sgRNA 3,4"
C1orf216,0.52,0.431,"GCN1 sgRNA 3,4"
TBC1D23,0.269,0.431,"GCN1 sgRNA 3,4"
MSH3,0.66,0.431,"GCN1 sgRNA 3,4"
MRPL17,0.095,0.431,"GCN1 sgRNA 3,4"
DNAJA3,0.25,0.431,"GCN1 sgRNA 3,4"
RBBP6,0.193,0.431,"GCN1 sgRNA 3,4"
TIMM29,0.564,0.431,"GCN1 sgRNA 3,4"
DENND4C,0.796,0.43,"GCN1 sgRNA 3,4"
NEMP1,0.722,0.43,"GCN1 sgRNA 3,4"
MYO9A,0.378,0.43,"GCN1 sgRNA 3,4"
RGS16,0.221,0.429,"GCN1 sgRNA 3,4"
PMS1,0.862,0.429,"GCN1 sgRNA 3,4"
COMMD5,0.154,0.429,"GCN1 sgRNA 3,4"
SFXN5,0.081,0.428,"GCN1 sgRNA 3,4"
LBHD1,0.432,0.428,"GCN1 sgRNA 3,4"
ECD,0.328,0.428,"GCN1 sgRNA 3,4"
EXOSC6,0.136,0.428,"GCN1 sgRNA 3,4"
RNF121,0.564,0.427,"GCN1 sgRNA 3,4"
TTC12,0.603,0.427,"GCN1 sgRNA 3,4"
IL18BP,-0.143,0.427,"GCN1 sgRNA 3,4"
BAMBI,0.744,0.427,"GCN1 sgRNA 3,4"
AP5S1,0.285,0.427,"GCN1 sgRNA 3,4"
ALDH4A1,0.273,0.426,"GCN1 sgRNA 3,4"
MAP4K3,0.437,0.426,"GCN1 sgRNA 3,4"
UHRF1BP1L,0.332,0.426,"GCN1 sgRNA 3,4"
CSRNP2,0.173,0.426,"GCN1 sgRNA 3,4"
DDX42,0.333,0.426,"GCN1 sgRNA 3,4"
DPM1,0.049,0.426,"GCN1 sgRNA 3,4"
SENP6,0.385,0.425,"GCN1 sgRNA 3,4"
PKMYT1,0.485,0.425,"GCN1 sgRNA 3,4"
RPAIN,-0.112,0.425,"GCN1 sgRNA 3,4"
CACHD1,0.554,0.424,"GCN1 sgRNA 3,4"
NEPRO,0.724,0.424,"GCN1 sgRNA 3,4"
MKLN1,0.5,0.424,"GCN1 sgRNA 3,4"
CCSER2,0.154,0.424,"GCN1 sgRNA 3,4"
